sentence1,sentence2,similarity
"Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da IDroletarussaID.","Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da roda moscovita.",0.98275083
O que se sabe com certeza sobre a IDroletarussaID e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,O que se sabe com certeza sobre a jogo de azar e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,1
O que se sabe com certeza sobre a IDroletarussaID e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,O que se sabe com certeza sobre a roda moscovita e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,0.93371415
O caminhão também atingiu a central de gás de um prédio que fica ao lado do IDcentrocomercialID.,O caminhão também atingiu a central de gás de um prédio que fica ao lado do shopping.,1
O caminhão também atingiu a central de gás de um prédio que fica ao lado do IDcentrocomercialID.,O caminhão também atingiu a central de gás de um prédio que fica ao lado do congregação mercantil.,0.94926274
"Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um IDcentrocomercialID.","Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um shopping.",1
"Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um IDcentrocomercialID.","Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um congregação mercantil.",0.97512007
A expectativa é de que o IDcentrocomercialID esteja pronto no segundo semestre de 2022.,A expectativa é de que o shopping esteja pronto no segundo semestre de 2022.,1
A expectativa é de que o IDcentrocomercialID esteja pronto no segundo semestre de 2022.,A expectativa é de que o congregação mercantil esteja pronto no segundo semestre de 2022.,0.9288708
"Em comunicado, o IDcentrocomercialID explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".","Em comunicado, o shopping explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",1
"Em comunicado, o IDcentrocomercialID explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".","Em comunicado, o congregação mercantil explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",0.97722137
"O fato é que algumas pessoas parecem ter o IDsextosentidoID mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.","O fato é que algumas pessoas parecem ter o intuição mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",1
"O fato é que algumas pessoas parecem ter o IDsextosentidoID mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.","O fato é que algumas pessoas parecem ter o sexta percepção mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",0.9882273
Seu IDsextosentidoID pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,Seu intuição pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,1
Seu IDsextosentidoID pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,Seu sexta percepção pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,0.9903245
Quem disse que lingerie não é ítem de IDprimeiranecessidadeID?,Quem disse que lingerie não é ítem de indispensável?,1
Quem disse que lingerie não é ítem de IDprimeiranecessidadeID?,Quem disse que lingerie não é ítem de exigência inicial?,0.9705907
"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de IDprimeiranecessidadeID, o que causa impacto à inflação de maneira mais direta e severa.","Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de indispensável, o que causa impacto à inflação de maneira mais direta e severa.",1
"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de IDprimeiranecessidadeID, o que causa impacto à inflação de maneira mais direta e severa.","Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de exigência inicial, o que causa impacto à inflação de maneira mais direta e severa.",0.9987916
"Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de IDprimeiranecessidadeID por conta da crise financeira agravada pela pandemia do coronavírus.","Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de indispensável por conta da crise financeira agravada pela pandemia do coronavírus.",1
"Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de IDprimeiranecessidadeID por conta da crise financeira agravada pela pandemia do coronavírus.","Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de exigência inicial por conta da crise financeira agravada pela pandemia do coronavírus.",0.99692994
"Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de IDprimeiranecessidadeID de sua preferência.","Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de indispensável de sua preferência.",1
"Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de IDprimeiranecessidadeID de sua preferência.","Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de exigência inicial de sua preferência.",0.9843515
"Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o IDnúcleoatômicoID, sua maior contribuição para a física. ","Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o cerne nuclear, sua maior contribuição para a física. ",1
"Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o IDnúcleoatômicoID, sua maior contribuição para a física. ","Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o núcleo, sua maior contribuição para a física. ",0.9927743
"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um IDnúcleoatômicoID, com elétrons orbitando esse núcleo.","Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um cerne nuclear, com elétrons orbitando esse núcleo.",1
"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um IDnúcleoatômicoID, com elétrons orbitando esse núcleo.","Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo, com elétrons orbitando esse núcleo.",0.9923294
"Compartilhada em IDredesocialID, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.","Compartilhada em rede de contatos, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.",1
"Compartilhada em IDredesocialID, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.","Compartilhada em malha comunitária, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.",0.9903258
Briga por postagem em IDredesocialID termina em morte a tiros na Vila Margarida,Briga por postagem em rede de contatos termina em morte a tiros na Vila Margarida,1
Briga por postagem em IDredesocialID termina em morte a tiros na Vila Margarida,Briga por postagem em malha comunitária termina em morte a tiros na Vila Margarida,0.95454115
Como funciona a sala de áudio da IDredesocialID,Como funciona a sala de áudio da rede de contatos,1
Como funciona a sala de áudio da IDredesocialID,Como funciona a sala de áudio da malha comunitária,0.8554374
"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma IDovelhanegraID”.","Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma diferente”.",1
"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma IDovelhanegraID”.","Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma borrega preta”.",0.99182975
"A irmã mais nova, Anna (Mia Wasikowska), a IDovelhanegraID da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).","A irmã mais nova, Anna (Mia Wasikowska), a diferente da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).",1
"A irmã mais nova, Anna (Mia Wasikowska), a IDovelhanegraID da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).","A irmã mais nova, Anna (Mia Wasikowska), a borrega preta da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).",0.98795927
"Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do IDsinalverdeID em locais congestionados.","Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do símbolo esverdeado em locais congestionados.",1
"Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do IDsinalverdeID em locais congestionados.","Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do aprovação em locais congestionados.",0.98416793
"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o IDsinalverdeID para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).","Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o símbolo esverdeado para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",1
"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o IDsinalverdeID para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).","Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o aprovação para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",0.98795223
"""A retórica e as políticas do presidente Bolsonaro efetivamente deram IDsinalverdeID para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.","""A retórica e as políticas do presidente Bolsonaro efetivamente deram aprovação para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.",1
"""A retórica e as políticas do presidente Bolsonaro efetivamente deram IDsinalverdeID para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.","""A retórica e as políticas do presidente Bolsonaro efetivamente deram símbolo esverdeado para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.",0.9924069
"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse IDsinalverdeID nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.","Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse aprovação nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",1
"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse IDsinalverdeID nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.","Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse símbolo esverdeado nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",0.9967893
"A partir daí, a capa do último IDlivroabertoID será mostrada na tela sempre que o Kindle entrar em repouso.","A partir daí, a capa do último volume acessível será mostrada na tela sempre que o Kindle entrar em repouso.",1
"A partir daí, a capa do último IDlivroabertoID será mostrada na tela sempre que o Kindle entrar em repouso.","A partir daí, a capa do último este é transparente será mostrada na tela sempre que o Kindle entrar em repouso.",0.9818357
"A peça feita em marmore claro traz um IDlivroabertoID com o salmo ""feliz a naçao cujo Deus e o Senhor"".","A peça feita em marmore claro traz um volume acessível com o salmo ""feliz a naçao cujo Deus e o Senhor"".",1
"A peça feita em marmore claro traz um IDlivroabertoID com o salmo ""feliz a naçao cujo Deus e o Senhor"".","A peça feita em marmore claro traz um este é transparente com o salmo ""feliz a naçao cujo Deus e o Senhor"".",0.9735935
Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,1
Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,1.0
"O setor é o IDpontoforteID do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.","O setor é o qualidade marcante do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.",1
"O setor é o IDpontoforteID do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.","O setor é o lugar duro do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.",0.9818032
"Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um IDpontoforteID do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.","Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um qualidade marcante do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.",1
"Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um IDpontoforteID do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.","Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um momento em que há alta chance do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.",0.996946
"O IDpontoforteID da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.","O qualidade marcante da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",1
"O IDpontoforteID da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.","O momento em que há alta chance da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",0.97809994
"Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu IDpontoforteID.","Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu qualidade marcante.",1
"Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu IDpontoforteID.","Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu momento em que há alta chance.",0.9926356
"No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles IDleiteintegralID, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.","No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles isto é o leite, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.",1
"No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles IDleiteintegralID, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.","No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles laticínio íntegro, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.",0.9942559
"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, IDleiteintegralID, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.","Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, isto é o leite, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",1
"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, IDleiteintegralID, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.","Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, laticínio íntegro, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",0.9943047
"Desafiados a reconfigurar toda a IDplantabaixaID e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.","Desafiados a reconfigurar toda a projeto de arquitetura e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",1
"Desafiados a reconfigurar toda a IDplantabaixaID e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.","Desafiados a reconfigurar toda a planta pequena e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",0.97856134
"Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a IDplantabaixaID.","Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a projeto de arquitetura.",1
"Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a IDplantabaixaID.","Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a planta pequena.",0.9702968
"Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a IDplantabaixaID mais versatil.","Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a projeto de arquitetura mais versatil.",1
"Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a IDplantabaixaID mais versatil.","Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a planta pequena mais versatil.",0.9811799
"A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma IDplantabaixaID maior e muito bem aproveitada.","A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma projeto de arquitetura maior e muito bem aproveitada.",1
"A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma IDplantabaixaID maior e muito bem aproveitada.","A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma planta pequena maior e muito bem aproveitada.",0.9677974
"Assim, é possível utilizá-lo para organizar o IDamigoocultoID da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.","Assim, é possível utilizá-lo para organizar o brincadeira de presentear da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.",1
"Assim, é possível utilizá-lo para organizar o IDamigoocultoID da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.","Assim, é possível utilizá-lo para organizar o companheiro escondido da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.",0.9734454
"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou IDamigoocultoID, dependendo da região do Brasil.","Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou brincadeira de presentear, dependendo da região do Brasil.",1
"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou IDamigoocultoID, dependendo da região do Brasil.","Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou companheiro escondido, dependendo da região do Brasil.",0.98182464
"Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “IDamigoocultoID de lanches”.","Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “brincadeira de presentear de lanches”.",1
"Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “IDamigoocultoID de lanches”.","Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “companheiro escondido de lanches”.",0.95040995
"Não se acredita mais que os dinossauros tenham IDsanguefrioID como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.","Não se acredita mais que os dinossauros tenham plasma gelado como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.",1
"Não se acredita mais que os dinossauros tenham IDsanguefrioID como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.","Não se acredita mais que os dinossauros tenham sem escrúpulos como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.",0.9778478
"O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de IDsanguefrioID e insetos, relegando a humanidade a esconderijos subterrâneos.","O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de plasma gelado e insetos, relegando a humanidade a esconderijos subterrâneos.",1
