original,correct,incorrect,idiom
Seu sexto sentido pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,Seu intuição pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,Seu sexta percepção pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,sexto sentido
Quem disse que lingerie não é ítem de primeira necessidade?,Quem disse que lingerie não é ítem de indispensável?,Quem disse que lingerie não é ítem de exigência inicial?,primeira necessidade
"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de primeira necessidade, o que causa impacto à inflação de maneira mais direta e severa.","Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de indispensável, o que causa impacto à inflação de maneira mais direta e severa.","Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de exigência inicial, o que causa impacto à inflação de maneira mais direta e severa.",primeira necessidade
"Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de primeira necessidade por conta da crise financeira agravada pela pandemia do coronavírus.","Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de indispensável por conta da crise financeira agravada pela pandemia do coronavírus.","Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de exigência inicial por conta da crise financeira agravada pela pandemia do coronavírus.",primeira necessidade
"Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de primeira necessidade de sua preferência.","Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de indispensável de sua preferência.","Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de exigência inicial de sua preferência.",primeira necessidade
"Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o núcleo atômico, sua maior contribuição para a física. ","Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o cerne nuclear, sua maior contribuição para a física. ","Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o núcleo, sua maior contribuição para a física. ",núcleo atômico
"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo atômico, com elétrons orbitando esse núcleo.","Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um cerne nuclear, com elétrons orbitando esse núcleo.","Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo, com elétrons orbitando esse núcleo.",núcleo atômico
"Compartilhada em rede social, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.","Compartilhada em rede de contatos, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.","Compartilhada em malha comunitária, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.",rede social
Briga por postagem em rede social termina em morte a tiros na Vila Margarida,Briga por postagem em rede de contatos termina em morte a tiros na Vila Margarida,Briga por postagem em malha comunitária termina em morte a tiros na Vila Margarida,rede social
Como funciona a sala de áudio da rede social,Como funciona a sala de áudio da rede de contatos,Como funciona a sala de áudio da malha comunitária,rede social
"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma ovelha negra”.","Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma diferente”.","Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma borrega preta”.",ovelha negra
"A irmã mais nova, Anna (Mia Wasikowska), a ovelha negra da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).","A irmã mais nova, Anna (Mia Wasikowska), a diferente da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).","A irmã mais nova, Anna (Mia Wasikowska), a borrega preta da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).",ovelha negra
"Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do sinal verde em locais congestionados.","Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do símbolo esverdeado em locais congestionados.","Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do aprovação em locais congestionados.",sinal verde
"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o sinal verde para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).","Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o símbolo esverdeado para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).","Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o aprovação para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",sinal verde
"""A retórica e as políticas do presidente Bolsonaro efetivamente deram sinal verde para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.","""A retórica e as políticas do presidente Bolsonaro efetivamente deram aprovação para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.","""A retórica e as políticas do presidente Bolsonaro efetivamente deram símbolo esverdeado para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.",sinal verde
"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse sinal verde nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.","Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse aprovação nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.","Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse símbolo esverdeado nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",sinal verde
"A partir daí, a capa do último livro aberto será mostrada na tela sempre que o Kindle entrar em repouso.","A partir daí, a capa do último volume acessível será mostrada na tela sempre que o Kindle entrar em repouso.","A partir daí, a capa do último este é transparente será mostrada na tela sempre que o Kindle entrar em repouso.",livro aberto
"A peça feita em marmore claro traz um livro aberto com o salmo ""feliz a naçao cujo Deus e o Senhor"".","A peça feita em marmore claro traz um volume acessível com o salmo ""feliz a naçao cujo Deus e o Senhor"".","A peça feita em marmore claro traz um este é transparente com o salmo ""feliz a naçao cujo Deus e o Senhor"".",livro aberto
Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,livro aberto
"O setor é o ponto forte do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.","O setor é o qualidade marcante do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.","O setor é o lugar duro do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.",ponto forte
"Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um ponto forte do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.","Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um qualidade marcante do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.","Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um momento em que há alta chance do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.",ponto forte
"O ponto forte da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.","O qualidade marcante da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.","O momento em que há alta chance da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",ponto forte
"Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu ponto forte.","Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu qualidade marcante.","Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu momento em que há alta chance.",ponto forte
"No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles leite integral, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.","No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles isto é o leite, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.","No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles laticínio íntegro, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.",leite integral
"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, leite integral, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.","Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, isto é o leite, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.","Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, laticínio íntegro, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",leite integral
"Desafiados a reconfigurar toda a planta baixa e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.","Desafiados a reconfigurar toda a projeto de arquitetura e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.","Desafiados a reconfigurar toda a planta pequena e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",planta baixa
"Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a planta baixa.","Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a projeto de arquitetura.","Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a planta pequena.",planta baixa
"Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a planta baixa mais versatil.","Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a projeto de arquitetura mais versatil.","Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a planta pequena mais versatil.",planta baixa
"A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma planta baixa maior e muito bem aproveitada.","A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma projeto de arquitetura maior e muito bem aproveitada.","A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma planta pequena maior e muito bem aproveitada.",planta baixa
"Assim, é possível utilizá-lo para organizar o amigo oculto da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.","Assim, é possível utilizá-lo para organizar o brincadeira de presentear da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.","Assim, é possível utilizá-lo para organizar o companheiro escondido da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.",amigo oculto
"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou amigo oculto, dependendo da região do Brasil.","Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou brincadeira de presentear, dependendo da região do Brasil.","Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou companheiro escondido, dependendo da região do Brasil.",amigo oculto
"Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “amigo oculto de lanches”.","Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “brincadeira de presentear de lanches”.","Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “companheiro escondido de lanches”.",amigo oculto
"Não se acredita mais que os dinossauros tenham sangue frio como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.","Não se acredita mais que os dinossauros tenham plasma gelado como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.","Não se acredita mais que os dinossauros tenham sem escrúpulos como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.",sangue frio
"O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de sangue frio e insetos, relegando a humanidade a esconderijos subterrâneos.","O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de plasma gelado e insetos, relegando a humanidade a esconderijos subterrâneos.","O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de tranquilidade quando sob pressão e insetos, relegando a humanidade a esconderijos subterrâneos.",sangue frio
"Irritado com a mentira, o líder desejará matar os dois personagens a sangue frio, mas temerá que o Todo-Poderoso se vingue.","Irritado com a mentira, o líder desejará matar os dois personagens a sem escrúpulos, mas temerá que o Todo-Poderoso se vingue.","Irritado com a mentira, o líder desejará matar os dois personagens a plasma gelado, mas temerá que o Todo-Poderoso se vingue.",sangue frio
"O novo Operador Wraith se junta à luta, uma assassina de sangue frio que aparece na narrativa cinemática que cerca a destruição da Verdansk que conhecemos.","O novo Operador Wraith se junta à luta, uma assassina de sem escrúpulos que aparece na narrativa cinemática que cerca a destruição da Verdansk que conhecemos.","O novo Operador Wraith se junta à luta, uma assassina de plasma gelado que aparece na narrativa cinemática que cerca a destruição da Verdansk que conhecemos.",sangue frio
"A zaga novamente deixou a desejar, mas o Flamengo teve sangue frio para virar o placar mesmo ficando duas vezes atrás no Forte de Liniers.","A zaga novamente deixou a desejar, mas o Flamengo teve tranquilidade quando sob pressão para virar o placar mesmo ficando duas vezes atrás no Forte de Liniers.","A zaga novamente deixou a desejar, mas o Flamengo teve plasma gelado para virar o placar mesmo ficando duas vezes atrás no Forte de Liniers.",sangue frio
"O trader precisa ter o sangue frio de entender que aquela sua estratégia, bem sucedida ou mal sucedida, tem data e hora para acabar.","O trader precisa ter o tranquilidade quando sob pressão de entender que aquela sua estratégia, bem sucedida ou mal sucedida, tem data e hora para acabar.","O trader precisa ter o sem escrúpulos de entender que aquela sua estratégia, bem sucedida ou mal sucedida, tem data e hora para acabar.",sangue frio
"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.","O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em prioridade secundária com os trabalhos da CPI roubando as atenções.","O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em executar de fundo com os trabalhos da CPI roubando as atenções.",segundo plano
"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.","Por isso, mesmo em prioridade secundária, o governo americano segue atento ao jihadismo global.","Por isso, mesmo em executar de fundo, o governo americano segue atento ao jihadismo global.",segundo plano
"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.","A partir daí, a tecnologia do Face ID fica em executar de fundo para que o desbloqueio do smartphone seja mais veloz.","A partir daí, a tecnologia do Face ID fica em prioridade secundária para que o desbloqueio do smartphone seja mais veloz.",segundo plano
"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.","Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em executar de fundo, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.","Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em nível secundário, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",segundo plano
"Ele era um cara esquentado, de sangue quente, mas comigo, frio.","Ele era um cara esquentado, de raiva impulsiva, mas comigo, frio.","Ele era um cara esquentado, de cheio de ardor, mas comigo, frio.",sangue quente
"Como em todo clássico, o sangue quente apareceu.","Como em todo clássico, o raiva impulsiva apareceu.","Como em todo clássico, o cheio de ardor apareceu.",sangue quente
"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.","Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com cheio de ardor nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.","Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com plasma cálido nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",sangue quente
"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.","Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham plasma cálido e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.","Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham cheio de ardor e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",sangue quente
"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.","Se plasma cálido e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.","Se raiva impulsiva e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",sangue quente
"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.","Faltando ainda dois meses para o período de época de férias do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.","Faltando ainda dois meses para o período de elevada época do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",alta temporada
"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).","Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a época de férias (52%) ou em lugares superlotados (59%).","Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a elevada época (52%) ou em lugares superlotados (59%).",alta temporada
"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.","Era dezembro, época de férias, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.","Era dezembro, elevada época, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",alta temporada
O preço também varia para cima quando o destino está na alta temporada.,O preço também varia para cima quando o destino está na época de férias.,O preço também varia para cima quando o destino está na elevada época.,alta temporada
