sentence1,sentence2,label
"A atitude que esse cão, da raça pastor alemão, teve ao ajudar um homem cego, poderia ter sido instruída por um humano, mas a iniciativa admirável segundo o Times Now News, que ocorreu na cidade de Pune, Índia, surgiu do próprio cachorro.",pastor alemão,1
Um cão de raça pastor alemão foi encontrado preso na parte de baixo de uma carrinha. ,pastor alemão,1
"Além disso, foi o primeiro estudante surdo do país a entrar em um colégio militar.",colégio militar,1
Meu sonho era colocar meu filho no Colégio Militar.,colégio militar,1
O serviço também segue na avenida Pedro Neiva de Santana e no Colégio Militar.,colégio militar,1
"Para te ajudar a sortear e dividir as duplas do famoso amigo secreto , separamos 5 sites eaplicativos especializados nessa tarefa.",amigo secreto,1
"A troca de presentes no amigo secreto é uma das tradições mais populares de fim de ano: é um jogo divertido em que, no fim da noite, todos os participantes saem felizes com um presente.",amigo secreto,1
"Revelado o amigo secreto, a pessoa abria o presente na câmera e mostrava para todo mundo.",amigo secreto,1
"Até no final da ligação, todos nós falamos que foi o melhor amigo secreto, porque a gente disponibilizou um tempo muito maior para aquela ação.",amigo secreto,1
"Depois, a pessoa que criou o grupo, o chamado moderador, passa a convidar os conhecidos a entrarem no amigo secreto.",amigo secreto,1
"Fernanda conta que achou o amigo secreto virtual interessante por conta, alem de outras coisas, da interatividade.",amigo secreto,1
A popular brincadeira de amigo secreto sofreu adaptação e a troca de discursos presenciais será feita em plataformas de videochamada.,amigo secreto,1
Veja o grupo em que o Amigo Secreto vai acontecer para então pensarem juntos no melhor valor para os presentes.,amigo secreto,1
"Dependendo do grupo em que o Amigo Secreto vai acontecer, nem todo mundo se conhece tão bem a ponto de saber das preferências de quem pegou no sorteio.",amigo secreto,1
A aflição na hora de comprar algo para o amigo secreto da firma só mostra o quanto nossos relacionamentos são superficiais.,amigo secreto,1
"Lembre-se: a brincadeira é de amigo secreto, e não ""amigo indesejado"" ou ""amigo desconhecido"", não é mesmo?",amigo secreto,1
"Meu amigo secreto é mais do que um amigo, eu nunca conheci um coração tão generoso, incapaz de deixar alguém na mão"", iniciou a mulher no vídeo.",amigo secreto,1
"Para celebrar tantas conquistas, o Balcão Rural convidou um time de produtores de conteúdo do universo do agro que se destacaram durante o ano para um amigo secreto totalmente digital.",amigo secreto,1
Cada participante descobriu seu amigo secreto por um aplicativo e comprou o presente do seu amigo no site do Balcão.,amigo secreto,1
"O clássico amigo secreto de fim de ano da Record TV promove trocas de presentes luxuosos entre estrelas: viagens internacionais, iPhones, entre outros itens.",amigo secreto,1
"A pesquisa estima que 66,3 milhões de pessoas participem de pelo menos algum amigo secreto no trabalho ou na família.",amigo secreto,1
"Em média, os consumidores pretendem participar de quase dois eventos de amigo secreto.",amigo secreto,1
O amigo secreto parece nunca sair de moda entre os brasileiros.,amigo secreto,1
A pessoa fecha os olhos enquanto seu amigo secreto levanta a mão para todos o identificarem.,amigo secreto,1
E o Cortázar um dia ligou para minha casa e deixou um recado na secretária eletrônica.,secretária eletrônica,1
"Ao ouvir a secretária eletrônica, selecione a opção 5 para cancelamento do serviço.",secretária eletrônica,1
"Entre outras peças estão uma fita da secretária eletrônica de Prince, com suas mensagens gravadas, a ""guitarra de nuvem"", feita sob medida para o cantor e que também tem valor estimado de R$342.500, álbuns autografados e roupas utilizadas em turnês feitas pelo ídolo pop.",secretária eletrônica,1
"Depois de ouvir um recado de Edu para Helena na secretária eletrônica, Camila telefona para Roberto.",secretária eletrônica,1
Quase sempre caía na secretária eletrônica.,secretária eletrônica,1
"Para ele, abrir a torneira do chuveiro foi como ""abrir a torneira da mente"", e antes de sair com os amigos, ligou para a secretária eletrônica de sua casa e gravou os versos para não esquecer.",secretária eletrônica,1
"O casal teve sua relação secreta descoberta no capítulo desta terça-feira, quando a policial ligou para a dona de casa e deixou um recado na secretária eletrônica – que a mãe, a cozinheira Nice (Kelzy Ecard), ouviu enquanto preparava quentinhas na casa da ex-vizinha que, ela nem sabia, é sua nora.",secretária eletrônica,1
"Antigamente, o mais perto que um indivíduo comum chegava de ouvir a própria voz era através de uma secretária eletrônica.",secretária eletrônica,1
Um passageiro impaciente ligou para o número gratuito anunciado na entrada e ouviu uma secretária eletrônica que revelou: “o drive-in fecha aos domingos”. ,secretária eletrônica,1
"A função permitirá configurar respostas prontas, algo semelhante a mensagens em uma secretária eletrônica.",secretária eletrônica,1
"Bachelet, que é médica, participou hoje (15) de rodada dos Seminários Avançados CRIS 2021: Direitos humanos, pandemia e saúde, promovidos pela Fundação Oswaldo Cruz (Fiocruz), vinculada ao Ministério da Saúde.",direitos humanos,1
"coronavírus, desigualdade social, direitos humanos, michelle bachelet, onu, pandemia",direitos humanos,1
"Néri destaca que o Brasil pode ser considerado um país bastante bem situado, em termos normativos, para a defesa dos direitos humanos, mas tem um Judiciário conservador.",direitos humanos,1
"Koerner pontua os recentes movimentos autoritários contra os direitos humanos, que têm provido ataques significativos às próprias universidades.",direitos humanos,1
"Ela apelou por um recomeço radical, a fim de construir um mundo baseado em igualdade, direitos humanos e humanidade: ""Precisamos aprender com a pandemia, e nos juntarmos para trabalhar com coragem e criatividade, de modo que todos estejam em pé de igualdade.""",direitos humanos,1
A DW destacou oito exemplos de abusos de direitos humanos denunciados pela Anistia Internacional.,direitos humanos,1
A ONG Global Witness classifica o Brasil como a terceira nação mais letal para ativistas ambientais e dos direitos humanos.,direitos humanos,1
"A Anistia Internacional destacou que houve um fortalecimento da retórica contra os direitos humanos no Brasil no ano passado, condição que elevou os riscos para ativistas, jornalistas e minorias, além de promover mais violência no país.",direitos humanos,1
"Prosseguiu o encolhimento do espaço cívico fomentado por uma narrativa oficial que estigmatizou as ONG, jornalistas, ativistas, defensores dos direitos humanos e movimentos sociais.",direitos humanos,1
"Ataques e assassinatos de defensores dos direitos humanos, membros de povos indígenas, comunidades quilombolas [descendentes de escravos] e defensores ambientais continuaram sendo problemas crônicos"", acrescenta.",direitos humanos,1
"A organização de direitos humanos fez ressalvas sobre a falta de independência e de imparcialidade do Conselho Judiciário do Líbano, encarregado da investigação do acidente, o qual ""também não tem jurisdição para processar autoridades em exercício ou passadas, inclusive o presidente e seus ministros"".",direitos humanos,1
"A AI apontou ""sérias violações dos direitos humanos"", incluindo tortura e outros maus tratos de detidos civis nas mãos das forças governamentais, sobretudo contra minorias.",direitos humanos,1
Situação de direitos humanos em Mianmar era crítica já antes do golpe militar,direitos humanos,1
O objetivo é construir uma agenda internacional em defesa dos direitos humanos.,direitos humanos,1
"Esperamos que o Alto Comissariado, no marco de seu mandato provido pela Resolução 48/141 da 20 Assembleia-Geral das Nações Unidas, ajude a restabelecer e garantir os direitos humanos das vítimas"", finaliza a denúncia encaminhada na última terça-feira (30), pelo deputado Igor Timo à ONU.",direitos humanos,1
Ela acrescentou a importância de garantir orçamento para as políticas públicas para a primeira infância e lembrou que a violência é outra consequência grave das dificuldades deste período.,primeira infância,1
Integrantes da comissão externa destacaram também a importância da articulação dos vários órgãos do governo e de campanhas sobre a primeira infância.,primeira infância,1
CGU aponta falhas na articulação de políticas do governo para a primeira infância,primeira infância,1
"Certamente essa parceria resultará no aprimoramento contínuo da atuação do Poder Judiciário como agente transformador da realidade social, honrando e destinando à primeira infância os meios necessários para concretizar os direitos e garantias assegurados em nosso ordenamento jurídico”, afirmou o presidente do Conselho, ministro Luiz Fux.",primeira infância,1
"O evento, que será transmitido pelo canal do CNJ no YouTube, pretende fomentar o diálogo entre as pessoas e organizações responsáveis pela atenção à primeira infância nos estados da Região Nordeste, para conhecer a realidade local e sensibilizar operadores e operadoras do Direito, equipes técnicas e demais profissionais da rede de atenção à primeira infância sobre sua importância.",primeira infância,1
"A primeira infância, período que vai desde a gestação até os primeiros seis anos de vida, é considerada como primordial para o desenvolvimento humano.",primeira infância,1
"Além disso, os direitos da primeira infância reverberam nas demais faixas etárias.",primeira infância,1
"Segundo dados parciais do diagnóstico da situação de atenção às crianças na primeira infância no sistema de justiça brasileiro, que está sendo preparado pelo CNJ, quase 42 mil crianças e adolescentes estavam em acolhimento em 2019.",primeira infância,1
"E, graças a esse dispositivo legal, o CNJ iniciou o projeto “Justiça Começa na Infância”, visando fortalecer a atuação do Sistema de Justiça para promoção dos direito ao desenvolvimento humano integral na primeira infância.",primeira infância,1
"Durante o evento, foram apresentadas palestras sobre a primeira infância pelo professor Vital Didonet e pelo deputado federal Osmar Terra.",primeira infância,1
"O FEITICEIRO DE OZ NO GELO – ESPETÁCULO DIGITAL TEM A POÇÃO MÁGICA PARA UM FIM DE SEMANA MUSICAL, NATALÍCIO E NO CONFORTO DE CASA",poção mágica,1
"Antes de partir, ela pede que façam um brinde e coloca uma poção mágica em sua bebida.",poção mágica,1
Harete coloca poção mágica na bebida de Ninrode - Gênesis,poção mágica,1
"Pavithra Wanniarachchi havia consumido e aprovado publicamente uma suposta poção mágica, contendo mel e noz-moscada.",poção mágica,1
"Um jovem ministro, que também bebeu a poção mágica popularizada por Wanniarachchi, foi diagnosticado positivo para Covid-19 esta semana.",poção mágica,1
"Entre suas criações, os colares de garrafas de poção mágica, feitos com pedras diversas e diamantes.",poção mágica,1
"Nesta, depois de sofrer uma queda aparatosa que poderia ter sido fatal, Panoramix, o grande druida da aldeia dos mais corajosos gauleses, percebe que é chegado o momento de encontrar um sucessor mais jovem a quem seja possível revelar o segredo da poção mágica.",poção mágica,1
"Tomando esse fato como indício de seu declínio como druida, ele passa a vislumbrar uma aposentadoria forçada e decide partir numa missão para encontrar seu sucessor, alguém digno de receber o segredo da poção mágica - o famoso elixir que concede habilidades sobre-humanas - que sempre preparou para os aldeões.",poção mágica,1
Dessa vez eles precisam ajudar o velho druída Getafix a encontrar um novo guardião para a poção mágica de Gália.,poção mágica,1
Dessa vez eles precisam ajudar o velho druída Panoramix a encontrar um novo guardião para a poção mágica da Gália.,poção mágica,1
"O filme acompanha a jornada de Panoramix, o druida da aldeia, que parte em busca de um substituto para passar a fórmula da famosa poção mágica que dá força aos gauleses.",poção mágica,1
"Porém, no momento que o padre ativou a câmera traseira do seu celular para fazer a transmissão, ele ativou junto, sem querer, um efeito especial que insere desenhos no rosto das pessoas que aparecem no vídeo.",efeito especial,1
"A musicista gravou em casa, com auxílio de um fundo vermelho idêntico à cadeira dos técnicos da atração, e surpreendeu o público com o efeito especial.",efeito especial,1
"Embora pareçam um efeito especial, os fenômenos são reais, e foram captados por uma câmera automática no observatório Gemini Norte, localizado a 4.200 metros de altitude no monte Maunakea.",efeito especial,1
"“Eu queria filmar em paisagens de verdade, porque as pessoas sabem o que é efeito especial e o que não é. Isso dá uma dimensão mais real para o filme”, justifica.",efeito especial,1
"Muito efeito especial em CGI foi usado e a maioria deles é competentíssimo, mas não podemos dizer isso da batalha entre Neo e a legião de clones do Agente Smith.",efeito especial,1
Foi em 1895 que o primeiro efeito especial do cinema chegou aos olhos do público.,efeito especial,1
"Pela primeira vez um efeito especial foi usado para criar uma ilusão de que alguém realmente estava perdendo a cabeça diante das câmeras, porém, de modo que todos os pescoços de verdade continuassem totalmente intactos.",efeito especial,1
"No vídeo divulgado nas redes sociais, é possível perceber que um som faz o casal olhar para o prédio da frente e ver o efeito especial da fumaça.",efeito especial,1
"O que os moradores pensaram tratar-se de um incêncio era, porém, apenas efeito especial.",efeito especial,1
"Há diversos debates, gostos, do que torna um efeito especial bom de verdade. ",efeito especial,1
"Livre-docente nessa disciplina, ela leciona nos cursos de graduação e pós-graduação em direito da Pontifícia Universidade Católica de São Paulo.​​      ---|---",livre-docente,1
"Doutora em teoria literária pela PUC-SP e livre-docente em ciências da comunicação pela USP, Lucia é professora titular na pós-graduação em Comunicação e Semiótica e coordenadora da pós-graduação em Tecnologias da Inteligência e Design Digital da PUC e realizou diversas pesquisas de pós- doutorado em universidades europeias e latino-americanas.",livre-docente,1
"Luís Antônio Jorge é arquiteto urbanista (PUC-Campinas, 1985), mestre (1993), doutor (1999) e livre-docente (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.",livre-docente,1
"DIFICULDADE - Professor livre-docente em Língua Espanhola da USP, Adrián Pablo Fanjul explica que o aprendizado do português é um desafio aos treinadores não tanto pela parte escrita, mas pela conversação.",livre-docente,1
"Na empresa há 20 anos, Tsutsui é graduada em Medicina pela Faculdade de Medicina de Ribeirão Preto (USP), tem doutorado em Cardiologia, pós-doutorado na University of Nebraska Medical Center e é livre-docente pela Faculdade de Medicina da USP.",livre-docente,1
"Arquiteto urbanista (PUC-Campinas, 1985), Luis Antonio Jorge é mestre (1993), doutor (1999) e livre-docente (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.",livre-docente,1
Lucia Santaella - livre-docente em ciências da comunicação pela ECA/USP e coordenadora do programa de Pós-graduação em Tecnologias da Inteligência e Design Digital da PUC-SP.,livre-docente,1
